title,company_name,location,via,longitude,latitude,company_freq,location_freq,via_freq
Technical Lead/Architect (Big data Lead with GCP),Zortech Solutions,"  San Francisco, CA   ",Big Country Jobs,-122.419906,37.7790262,1,16,1
Cloud Software Engineer HYBRID,Limitless Talent Solutions,"  Catonsville, MD   ",ZipRecruiter,-76.74554777654639,39.26099215,2,3,21
Java Springboot Cloud developer,HexaQuest Global,"  Weehawken, NJ   ",WRBL Jobs,-74.0204177,40.7695457,1,1,2
Cloud Software Engineer 3,"Avid Technology Professionals, LLC","  Annapolis, MD   ",JobLeads,-76.492786,38.9786401,1,4,5
Cloud Design Engr (CDE2)- TS/SCI with Poly,CACI,"  Annapolis Junction, MD   ",Indeed,-76.795323688298,39.12545965,2,12,5
Machine Learning Software Engineer,Owl Autonomous Imaging,  New York   ,AngelList,-74.0060152,40.7127281,1,1,7
Sr. Algorithm Engineer - ML/NN Research expertise,Certified Employment Group,"  Santa Clara, CA   ",ZipRecruiter,-121.6846349,37.2333253,1,4,21
"Machine Learning Scientist, Autopilot AI",Tesla,"  Palo Alto, CA   ",LinkedIn,-122.1598465,37.4443293,2,9,16
"Machine Learning Engineer, Graph Intelligence",Robinhood,"  Menlo Park, CA   ",Menlo Park CA Geebo.com Free Classifieds Ads - Geebo,-122.177992,37.4519671,1,5,1
Masterarbeit zu physics-informed neural networks für die Auslegung...,Bosch Group LLC,"  Ruston, LA   ",StartWire,-92.637927,32.5232053,1,1,1
"AI/ML - Deep Learning Software Engineer, CoreML, Machine Learning...",Apple,"  Seattle, WA   ","Seattle, WA - Geebo",-122.330062,47.6038321,10,7,1
AI Research Scientist- Reinforcement Learning and Multi-Agent...,jpmc/CX_1001,"  New York, NY   ",Salary.com,-74.0060152,40.7127281,1,24,4
Software Engineer (Machine Learning),Anyscale,"  San Francisco, CA   ",Lever,-122.419906,37.7790262,1,16,10
"Artificial Intelligence Research Scientist, Reinforcement Learning...",JPMorgan Chase,"  New York, NY   ",LocalJobs.com,-74.0060152,40.7127281,3,24,5
Machine Learning Engineer Jobs,Booz Allen Hamilton,"  Bethesda, MD   ",Clearance Jobs,-77.12335871396549,38.98127255,3,2,5
"Machine Learning Engineer, Planning - SPG",Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
Machine Learning Engineer,Unify Consulting,"  Kirkland, WA   ",Startup Jobs,-122.2070775,47.6765382,2,1,6
Machine Learning Engineer,Shaped,"  New York, NY   ",Y Combinator,-74.0060152,40.7127281,1,24,1
Machine Learning Engineer Intern,Fortinet,"  Sunnyvale, CA   ",ZipRecruiter,-122.036349,37.3688301,1,4,21
Machine Learning Internship,Got It,"  Palo Alto, CA   ",Ladders,-122.1598465,37.4443293,1,9,5
Senior Machine Learning Engineer - Data Automation,Bloomberg,"  New York, NY   ",EFinancialCareers,-74.0060152,40.7127281,1,24,1
"Lead, Software Engineer- Machine Learning/Artificial Intelligence",L3Harris Technologies,"  Plano, TX   ",L3Harris,-96.6925096,33.0136764,1,2,1
"Senior Data Engineer, Machine Learning",Harnham,"  San Francisco, CA   ",Harnham,-122.419906,37.7790262,1,16,1
Principal Machine Learning Engineer at Cision in Remote,Cision,"  Boulder, CO   ","Boulder, CO - Geebo",-105.270545,40.0149856,1,3,3
Machine Learning Data Scientist,Cyrad Solutions LLC,"  Bethesda, MD   ",Career Page,-77.12335871396549,38.98127255,1,2,1
Staff Machine Learning Engineer - Staff Data Scientist,Walmart,"  Mesquite, TX   ",ZipRecruiter,-96.599472,32.7666103,9,2,21
"Senior Technical Program Manager II, Machine Learning, Google Cloud",Google,"  New York, NY   ",Google Careers,-74.0060152,40.7127281,3,24,2
Machine Learning Scientist – NLP - Vice President - Machine...,JPMorgan Chase,"  New York, NY   ",Banking/ Accounting/ Financial Jobs,-74.0060152,40.7127281,3,24,1
Applied Machine Learning Scientist,Grainger,"  Chicago, IL   ",Grainger - Talentify,-87.6244212,41.8755616,1,11,1
Data Analyst,ASK Staffing,"  Bentonville, AR   ",ASK Consulting,-94.2088172,36.3728538,2,6,2
Data Analyst,ICF,"  Topeka, KS   ",Adzuna,-95.677556,39.049011,1,2,1
Financial Data Analyst,Children's Hospital Association,"  Lenexa, KS   ",Diversity Jobs,-94.7845837,38.9697458,1,1,1
Lab Data Analyst,State of Oklahoma,"  Oklahoma City, OK   ",Monster,-97.5170536,35.4729886,1,5,4
Adjunct - Neural Networks and Deep Learning - Cohort Traditional...,Grand Canyon University,"  Phoenix, AZ   ",HigherEdJobs,-112.074141,33.4484367,1,1,1
Python Engineer - Computer Vision / Neural Network,Braintrust,"  San Francisco, CA   ",Salary.com,-122.419906,37.7790262,1,16,4
System-2 Deep Learning and Neural Reasoning Researcher,Qualcomm,"  San Diego, CA   ",Jora,-117.1627728,32.7174202,1,2,1
Neural Network Scientist,Wolfram,"  Champaign, IL   ",BeBee,-88.2430932,40.1164841,1,1,2
Physics-Informed Neural Networks Researcher,OriGen.AI,"  New York, NY   ",LinkedIn,-74.0060152,40.7127281,1,24,16
PhD position in Deep Neural Networks with Dempster Shafer Theory,Université d'Artois / LGI2A,"  Bethune, SC   ",Glassdoor,-80.3486166,34.4147965,1,1,2
Software engineer (Machine Learning/Computer Vision/Neural...,Cadence Design Systems,"  San Jose, CA   ","San Jose, CA - Geebo",-121.890591,37.3361663,1,7,1
Data Scientist II - Reinforcement Learning (remote),"MultiPlan, Inc","  Atlanta, GA   ",Jooble,-84.3902644,33.7489924,1,4,7
Reinforcement Learning Researcher (Washington DC),STR,"  Washington, DC   ",Built In,-77.0365427,38.8950368,2,4,3
Machine Learning Scientist Internship - Reinforcement Learning,Coursera Sourcing,"  Mountain View, CA   ",Greenhouse,-122.0832101,37.3893889,1,3,11
Reinforcement Learning Software Engineer,MathWorks,"  Southborough, MA   ",Ladders,-71.5245087,42.3056501,2,1,5
Post Doc Researcher - Machine Learning and Reinforcement Learning...,Microsoft,"  New York, NY   ",Microsoft Careers,-74.0060152,40.7127281,5,24,4
(USA) Data Scientist,Walmart,"  Bentonville, AR   ",Walmart Careers,-94.2088172,36.3728538,9,6,4
Data Scientist II,University of Wisconsin-Madison,"  Madison, WI   ",The Chronicle Of Higher Education Jobs,-89.3837613,43.074761,1,3,1
Data Scientist/ Sr. Data Scientist,Colgate-Palmolive Company,"  Topeka, KS   ",Jobs At Colgate,-95.677556,39.049011,1,2,1
